"","Source","Target","Value"
"32",0,1,3
"40",0,2,19
"35",0,3,7
"22",0,4,36
"31",0,5,13
"25",0,8,9
"52",0,13,7
"30",0,14,1
"27",0,16,1
"51",0,20,1
"26",0,25,2
"24",0,26,3
"23",0,27,2
"41",0,33,2
"37",0,34,1
"16",0,42,2
"50",0,49,1
"49",0,51,1
"48",0,54,1
"47",0,64,1
"46",0,68,1
"45",0,70,1
"44",0,71,1
"43",0,72,1
"42",0,77,1
"39",0,87,1
"38",0,90,1
"36",0,91,1
"34",0,92,1
"33",0,93,1
"29",0,95,1
"28",0,96,1
"21",0,108,1
"20",0,109,1
"19",0,110,1
"18",0,111,1
"17",0,112,1
"15",0,115,1
"94",1,0,1
"108",1,2,7
"106",1,3,38
"105",1,5,2
"101",1,8,1
"92",1,12,4
"104",1,14,3
"90",1,17,5
"127",1,20,3
"99",1,21,4
"91",1,22,1
"124",1,24,3
"93",1,28,1
"107",1,34,1
"126",1,47,1
"125",1,48,1
"123",1,57,1
"122",1,58,1
"121",1,59,1
"120",1,60,1
"119",1,61,1
"118",1,63,1
"117",1,65,1
"116",1,66,1
"115",1,67,1
"114",1,69,1
"113",1,73,1
"112",1,74,1
"111",1,75,1
"110",1,76,1
"109",1,78,1
"103",1,94,1
"102",1,97,1
"100",1,98,1
"98",1,102,1
"97",1,103,1
"96",1,104,1
"95",1,105,1
"89",1,116,1
"130",2,6,1
"131",2,18,1
"132",2,62,1
"71",4,0,3
"72",4,14,1
"70",4,17,1
"81",5,0,1
"85",5,1,2
"82",5,6,3
"80",5,9,1
"83",5,11,6
"84",5,16,5
"86",5,88,1
"61",6,2,5
"60",6,3,1
"59",6,5,1
"55",6,12,2
"56",6,28,2
"57",6,39,1
"64",6,43,1
"63",6,52,1
"62",6,53,1
"58",6,101,1
"134",7,2,5
"137",7,31,2
"136",7,55,1
"135",7,56,1
"133",7,107,1
"9",9,1,1
"10",9,23,3
"140",10,2,9
"66",11,2,3
"14",12,6,3
"79",14,0,1
"139",15,3,4
"138",15,35,2
"128",18,2,2
"12",19,3,1
"11",19,5,1
"13",19,84,1
"7",22,9,2
"8",22,19,1
"76",25,3,1
"74",27,0,1
"6",29,1,2
"5",29,9,1
"2",30,32,2
"87",36,2,1
"88",36,80,1
"78",37,82,1
"77",37,83,1
"69",38,44,1
"68",38,86,1
"67",38,89,1
"65",39,1,1
"54",40,2,2
"3",41,18,2
"144",43,9,1
"143",45,2,1
"142",46,2,1
"141",50,14,1
"129",85,19,1
"75",99,6,1
"73",100,9,1
"53",106,30,1
"4",113,79,1
"1",114,81,1
