,Name,Party,Role
1,Гордана Јанкуловска,ВМРО-ДПМНЕ,Министер
2,Миле Јанакиески,ВМРО-ДПМНЕ,Политичар
3,Сашо Мијалков,ВМРО-ДПМНЕ,Политичар
4,Никола Груевски,ВМРО-ДПМНЕ,Премиер
5,Зоран Ставрески,ВМРО-ДПМНЕ,Министер
6,Мартин Протугер,ВМРО-ДПМНЕ,Портпарол
7,Драган Павловиќ Латас,Независен,Новинар
8,Светлана Костова,Непознато,Непознато
9,Кирил Божиновски,Непознато,Непознато
10,Влатко Мијалков,ВМРО-ДПМНЕ,Политичар
11,Слободан Николовски-Цобе,ВМРО-ДПМНЕ,Политичар
12,Емил Стојменов,ВМРО-ДПМНЕ,Политичар
13,Горан Иванов,Непознато,Непознато
14,Трајко Вељаноски,Непознато,Непознато
15,Марјан Ристески,Непознато,Непознато
16,Силвана Бонева,Непознато,Непознато
17,Љупчо Тодоровски,Непознато,Непознато
18,Александар Панов,Непознато,Непознато
19,Муса Џафери,Непознато,Непознато
20,Влатко Чинговски,Непознато,Непознато
21,Спиро Ристовски,Непознато,Непознато
22,Ирена Мишева,Непознато,Непознато
23,Владимир Талески,Непознато,Непознато
24,Ќире Шошев ,Непознато,Непознато
25,Соговорник (Ѓоко),Непознато,Непознато
26,Ленче Самарџиевска,Непознато,Непознато
27,Илија Димовски,Непознато,Непознато
28,Иво Котевски,ВМРО-ДПМНЕ,Политичар
29,Горан Трајковски,Непознато,Непознато
30,Ванчо Костадинов,Непознато,Непознато
31,Антонио Милошоски,Непознато,Непознато
32,Хаим Хакеини,Непознато,Непознато
33,Томе Аџиев,Непознато,Непознато
34,Славе Гошев,Непознато,Непознато
35,Никола Тодоров,Непознато,Непознато
36,Надица Танчева Тулиева,Непознато,Непознато
37,Мендух Тачи,Непознато,Непознато
38,Љубчо Георгиевски,ВМРО-ДПМНЕ,Политичар
39,Зоран Заев,СДСМ,Политичар
40,Елизабета Канческа-Милевска,Непознато,Непознато
41,Дејан Митровски-Урко,Непознато,Непознато
42,Блерим Беџети,Непознато,Непознато
43,Билјана Бришкоска - Бошковски,Непознато,Непознато
44,Филимена Маневска,Непознато,Непознато
45,Ќерка му на Заев,Независен,Семејство
46,Стевчо Јакимовски,Непознато,Непознато
47,Софија Лаличиќ,Непознато,Непознато
48,Согооврник 31,Непознато,Непознато
49,Соговорник (Стевче),Непознато,Непознато
50,Соговорник (Ристе),Непознато,Непознато
51,Соговорник (Дејан),Непознато,Непознато
52,Соговорник (Ане),Непознато,Непознато
53,Соговорник 33,Непознато,Непознато
54,Соговорник 32,Непознато,Непознато
55,Соговорник 30,Непознато,Непознато
56,Соговорник 29,Непознато,Непознато
57,Соговорник 28,Непознато,Непознато
58,Соговорник 27,Непознато,Непознато
59,Соговорник 26,Непознато,Непознато
60,Соговорник 25,Непознато,Непознато
61,Соговорник 24,Непознато,Непознато
62,Соговорник 23,Непознато,Непознато
63,Соговорник 22,Непознато,Непознато
64,Соговорник 21,Непознато,Непознато
65,Соговорник 20,Непознато,Непознато
66,Соговорник 19,Непознато,Непознато
67,Соговорник 18,Непознато,Непознато
68,Соговорник 17,Непознато,Непознато
69,Соговорник 16,Непознато,Непознато
70,Соговорник 15,Непознато,Непознато
71,Соговорник 14,Непознато,Непознато
72,Соговорник 13,Непознато,Непознато
73,Соговорник 12,Непознато,Непознато
74,Соговорник 11,Непознато,Непознато
75,Соговорник 10,Непознато,Непознато
76,Соговорник 09,Непознато,Непознато
77,Соговорник 08,Непознато,Непознато
78,Соговорник 07,Непознато,Непознато
79,Соговорник 06,Непознато,Непознато
80,Соговорник 05,Непознато,Непознато
81,Соговорник 04,Непознато,Непознато
82,Соговорник 03,Непознато,Непознато
83,Соговорник 02,Непознато,Непознато
84,Соговорник 01,Непознато,Непознато
85,Силјан Мицевски,Непознато,Непознато
86,Сашо Акимовски,Непознато,Непознато
87,Радмила Шекеринска,СДСМ,Политичар
88,Панче Кралев,Непознато,Непознато
89,Обезбедување на Никола Груевски,Непознато,Непознато
90,Новинар од РСЕ,Независен,Новинар
91,Никола Тодоровски,Непознато,Непознато
92,Никола Поповски,Непознато,Непознато
93,Михајло Маневски,Непознато,Непознато
94,Митко Чавков,Непознато,Непознато
95,Маријан Наковски,Непознато,Непознато
96,Мајран Цветковски,Непознато,Непознато
97,Љупчо Шврговски,Непознато,Непознато
98,Љупчо Димовски,Непознато,Непознато
99,Јово Вангеловски,Непознато,Непознато
100,Ивона Талеска,Непознато,Непознато
101,Зоранчо Алексов,Непознато,Непознато
102,Зоран Коњановски,Непознато,Непознато
103,Зоран Илијоски,Непознато,Непознато
104,Жарко Луковски,Непознато,Непознато
105,Душко Миновски,Непознато,Непознато
106,Директорка на дом,Непознато,Непознато
107,Дарко Димитриески,Непознато,Непознато
108,Влатко Стојковиќ,Непознато,Непознато
109,Влатко Илиевски,Непознато,Непознато
110,Владимир Пешевски,Непознато,Непознато
111,Виолета Андонова,Непознато,Непознато
112,Виктор Цветковски,Непознато,Непознато
113,Васил Пишев,Непознато,Непознато
114,Бујар Османи,Непознато,Непознато
115,Али Ахмети,ДУИ,Политичар
116,Александра Зафировска,Непознато,Непознато
117,Александар Николовски,Непознато,Непознато
